epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7951,0.65137,1.18642,1.0625,0.98835,0.90909,0.98115,0.86591,0.47706,1.51723,0.94598,0.00018,0.00018,0.00018
2,57.0568,0.49957,0.63255,0.9524,0.90119,0.90909,0.89868,0.68356,0.86482,2.0119,1.22076,0.00034238,0.00034238,0.00034238
3,80.2302,0.56372,0.65386,0.96338,0.70493,0.90909,0.9275,0.6878,0.94408,3.61601,1.22886,0.00046516,0.00046516,0.00046516
4,103.761,0.51677,0.55797,0.97706,0.81168,0.90909,0.90638,0.70232,0.80172,1.97164,1.20742,0.00054834,0.00054834,0.00054834
5,126.952,0.57408,0.65217,1.00441,0.88907,0.81818,0.87961,0.59762,0.93679,2.22374,1.39186,0.00059192,0.00059192,0.00059192
6,150.895,0.52895,0.53739,0.95534,0.90504,0.90909,0.91531,0.67675,0.86796,1.04582,1.38152,0.0005959,0.0005959,0.0005959
7,174.386,0.51607,0.49408,0.94179,0.90849,0.90307,0.95505,0.5692,1.17008,1.07434,1.62816,0.00056028,0.00056028,0.00056028
8,197.496,0.48001,0.46764,0.92381,0.90012,0.90909,0.93096,0.63326,1.04019,0.93073,1.50679,0.00048506,0.00048506,0.00048506
9,220.349,0.43473,0.40995,0.90847,0.98973,0.90909,0.92857,0.74151,0.85666,0.80036,1.27891,0.00037024,0.00037024,0.00037024
10,243.418,0.41575,0.37746,0.91834,0.90599,0.90909,0.9149,0.75217,0.62816,0.62886,1.07993,0.00021582,0.00021582,0.00021582
