order_id,product_id,product_name,order_hour_of_day
61,38928,Spring Water,9
66,3397,Organic Raspberries,15
74,14129,Organic Red Onion,21
129,13198,Honeycrisp Apple,18
147,21938,Organic Half & Half,12
251,43789,Organic Zucchini,11
255,47049,Organic Garlic,20
314,19398,Seedless Red Grapes,8
335,8467,Sparkling Water Grapefruit,12
400,13176,Bag of Organic Bananas,8
459,45116,Organic Half & Half,8
493,48595,Organic Lemon,19
501,43295,Organic Tomato Cluster,12
525,5025,Bag of Organic Bananas,12
544,26768,Sparkling Water Grapefruit,20
549,20082,100% Whole Wheat Bread,21
557,14084,Organic Baby Spinach,20
608,12357,Strawberries,21
618,10173,Organic Italian Parsley Bunch,19
626,22308,Red Vine Tomato,13
654,18610,Organic Gala Apples,13
660,19691,Large Lemon,13
715,24852,Banana,11
778,26940,Organic Blackberries,13
906,32989,Organic Baby Carrots,9
917,23909,Half & Half,12
964,30192,Organic Whole String Cheese,11
1141,3243,Apple Honeycrisp Organic,16
1155,8626,Michigan Organic Kale,13
1207,25885,Organic Italian Parsley Bunch,9
1322,8424,Organic Tomato Cluster,17
1341,45368,Asparagus,13
1391,43352,Raspberries,7
1412,32978,Honeycrisp Apple,15
1484,47209,Organic Hass Avocado,14
1526,31553,Organic Whole Milk,11
1542,35886,Organic Baby Arugula,22
1544,28464,Organic Half & Half,13
1545,33129,Strawberries,9
1596,19706,Organic Whole Milk,8
1626,35795,Spring Water,10
1632,34128,Organic Gala Apples,8
1648,588,Organic Strawberries,11
1745,23980,Limes,15
1760,41890,Organic Grape Tomatoes,8
1773,20947,Organic Unsweetened Almond Milk,8
1838,49520,Organic Tomato Cluster,14
1889,23785,Michigan Organic Kale,16
1933,20995,Organic Red Bell Pepper,18
1982,27811,Organic Lemon,10
2063,3464,Carrots,9
2082,21616,Organic Baby Arugula,13
2092,9839,Raspberries,7
2152,36313,Organic Zucchini,20
2152,8053,Yellow Onions,20
2156,22124,Banana,12
2186,24852,Banana,16
2200,40574,Organic Cucumber,20
2203,1999,Bag of Organic Bananas,21
2227,17616,Organic Blueberries,8
2364,29127,Organic Cilantro,13
2406,27544,Honeycrisp Apple,10
2406,13176,Bag of Organic Bananas,10
2452,6889,100% Whole Wheat Bread,13
2510,8555,Limes,12
2531,2228,Organic Grape Tomatoes,18
2586,45097,Organic Strawberries,20
2590,29668,Organic Hass Avocado,14
2629,40310,Honeycrisp Apple,17
2636,9133,Organic Cucumber,12
2636,2429,Cucumber Kirby,12
2689,29078,Organic Blackberries,12
2759,20760,Organic Baby Spinach,20
2765,20995,Apple Honeycrisp Organic,22
2773,45356,Organic Strawberries,12
2773,34499,Organic Garlic,12
2797,11992,Cucumber Kirby,18
2840,35221,Organic Garlic,15
2847,38322,Organic Large Extra Fancy Fuji Apple,14
3033,3919,Organic Cilantro,23
3131,45885,Carrots,16
3132,17131,Honeycrisp Apple,9
3144,10729,Organic Blueberries,9
3144,24852,Banana,9
3147,46820,Organic Half & Half,15
3231,47792,Organic Raspberries,9
3286,4106,Organic Blueberries,10
3299,44359,Organic Small Bunch Celery,20
3313,21616,Organic Baby Arugula,14
3329,49683,Cucumber Kirby,11
3356,16797,Strawberries,9
3360,32734,100% Whole Wheat Bread,9
3421,29487,Organic Cilantro,9
3433,34126,Organic Italian Parsley Bunch,14
3553,27307,Limes,10
3608,20955,Organic Hass Avocado,15
3619,18602,Organic Garlic,14
3622,5479,Large Lemon,16
3653,31954,Large Lemon,14
3682,8903,Organic Strawberries,12
3703,42265,Organic Baby Carrots,13
3725,45873,Organic Zucchini,15
3731,31371,Organic Cucumber,9
3731,25396,Seedless Red Grapes,9
3816,6975,Red Vine Tomato,16
3825,19766,Organic Baby Carrots,8
3872,21137,Organic Strawberries,8
3896,1749,Organic Raspberries,7
3912,6184,Honeycrisp Apple,12
3914,30391,Organic Cucumber,11
3934,28985,Michigan Organic Kale,11
3935,10337,Organic Fuji Apple,16
3973,9337,Organic Baby Arugula,12
3998,16020,Organic Strawberries,8
4126,13176,Bag of Organic Bananas,15
4154,35213,Organic Unsweetened Almond Milk,1
4161,13176,Bag of Organic Bananas,9
4180,45946,Organic Hass Avocado,20
4192,28378,Organic Cilantro,16
4233,27454,Banana,16
4233,29506,Organic Fuji Apple,16
4260,32657,Organic Baby Carrots,9
4297,49478,Apple Honeycrisp Organic,21
4328,22124,Asparagus,8
4349,28204,Organic Fuji Apple,10
4441,22218,Organic Large Extra Fancy Fuji Apple,13
4445,41787,Apple Honeycrisp Organic,13
4465,31717,Organic Cilantro,8
4465,24184,Organic Unsweetened Almond Milk,8
4517,28424,Organic Raspberries,8
4564,17794,Carrots,15
4600,28842,Organic Garlic,17
4605,47144,Organic Avocado,8
4724,22695,Fresh Cauliflower,13
4729,25926,Asparagus,18
4730,14536,Organic Red Bell Pepper,18
4796,16696,Yellow Onions,14
4803,27179,Organic Lemon,7
4807,13176,Bag of Organic Bananas,20
4812,15462,Cucumber Kirby,10
4823,30561,Seedless Red Grapes,14
4845,5652,Red Vine Tomato,22
4888,8021,Organic Blueberries,14
4931,35578,100% Whole Wheat Bread,18
4936,16973,Organic Blueberries,13
4973,40063,Seedless Red Grapes,10
5069,39216,Organic Blueberries,9
5078,25519,Organic Baby Arugula,18
5114,25043,Organic Baby Carrots,10
5122,49363,Large Lemon,18
5174,32407,Organic Blueberries,10
5195,48624,Asparagus,18
5197,39581,Strawberries,9
5230,13845,Organic Red Onion,7
5317,18499,Organic Red Bell Pepper,16
5595,45767,Organic Blackberries,13
5855,3476,Organic Avocado,22
5882,36085,Organic Cilantro,10
5915,19019,Asparagus,20
5919,21137,Organic Strawberries,13
5969,35496,Organic Grape Tomatoes,11
6004,32537,Organic Hass Avocado,13
6016,4317,Organic Small Bunch Celery,23
6036,35108,Organic Fuji Apple,14
6061,2067,Sparkling Water Grapefruit,7
6151,5460,Original Hummus,16
6195,8390,Raspberries,11
6203,48364,Organic Baby Spinach,17
6213,32177,Original Hummus,8
6228,23147,Organic Baby Carrots,14
6230,9405,Organic Unsweetened Almond Milk,14
6257,17794,Carrots,11
6293,19660,Spring Water,17
6306,41290,Organic Italian Parsley Bunch,13
6418,46676,Half & Half,14
6433,42265,Organic Baby Carrots,9
6463,29686,Organic Zucchini,9
6463,17600,Organic Fuji Apple,9
6479,26209,Limes,16
6526,13237,Organic Baby Carrots,18
6531,12914,Organic Half & Half,13
6617,39332,Sparkling Water Grapefruit,15
6710,22035,Organic Whole String Cheese,14
6739,33787,100% Whole Wheat Bread,11
6790,7189,Banana,10
6810,37158,Bag of Organic Bananas,14
6847,31683,Organic Avocado,14
6985,2759,Red Vine Tomato,11
6997,49235,Organic Half & Half,9
7003,24231,Organic Cucumber,11
7022,8277,Apple Honeycrisp Organic,16
7072,21927,Organic Gala Apples,13
7075,47258,Cucumber Kirby,21
7084,30489,Original Hummus,14
7145,24489,Organic Baby Arugula,7
7199,34496,Organic Fuji Apple,19
7204,17375,Organic Grape Tomatoes,16
7227,5646,Organic Blackberries,14
7303,49235,Organic Half & Half,12
7421,14901,Asparagus,8
7421,46906,Honeycrisp Apple,8
7479,47759,Seedless Red Grapes,14
7518,46979,Asparagus,18
7605,47144,Organic Tomato Cluster,20
7649,26634,Organic Lemon,14
7662,26698,Michigan Organic Kale,13
7691,9238,Spring Water,13
7717,6760,Organic Grape Tomatoes,17
7727,40945,Organic Red Bell Pepper,17
7762,28476,Organic Grape Tomatoes,15
7772,17553,Organic Gala Apples,11
7792,27086,Half & Half,14
7848,43389,Organic Tomato Cluster,16
7866,46969,Organic Baby Carrots,6
7887,47185,Michigan Organic Kale,10
7917,21267,Organic Baby Arugula,15
7961,7388,Bag of Organic Bananas,10
7976,3472,Organic Baby Carrots,9
7980,11782,Strawberries,1
8115,16797,Strawberries,16
8212,20995,Original Hummus,15
8212,5819,Organic Lemon,15
8217,34358,Limes,22
8218,49655,Organic Hass Avocado,15
